156.19.26.248,156.19.27.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.28.0,156.19.28.255,NA,US,"South Carolina",Simpsonville,34.7371,-82.2543
156.19.29.0,156.19.30.7,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.30.8,156.19.30.247,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.30.248,156.19.31.247,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.31.248,156.19.32.255,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.33.0,156.19.33.255,NA,US,"North Carolina",Hickory,35.6704,-81.3619
156.19.34.0,156.19.34.243,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.34.244,156.19.35.247,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.35.248,156.19.36.247,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.36.248,156.19.37.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.38.0,156.19.38.255,NA,US,"North Carolina",Hickory,35.6704,-81.3619
156.19.39.0,156.19.39.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
156.19.40.0,156.19.40.255,NA,US,"South Carolina",Simpsonville,34.7371,-82.2543
156.19.41.0,156.19.41.255,NA,US,"North Carolina",Asheville,35.5671,-82.5438
156.19.42.0,156.19.42.251,NA,US,"South Carolina",Anderson,34.5034,-82.6501
156.19.42.252,156.19.44.19,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.44.20,156.19.44.255,NA,US,"North Carolina",Weaverville,35.6971,-82.5607
156.19.45.0,156.19.45.255,NA,US,"North Carolina","Sugar Grove",36.2549,-81.8334
156.19.46.0,156.19.46.247,NA,US,"North Carolina",Lincolnton,35.4737,-81.2545
156.19.46.248,156.19.47.255,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.48.0,156.19.48.255,NA,US,"North Carolina",Morganton,35.7454,-81.6848
156.19.49.0,156.19.49.255,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.50.0,156.19.50.255,NA,US,"South Carolina",Simpsonville,34.7371,-82.2543
156.19.51.0,156.19.51.255,NA,US,"North Carolina",Asheville,35.5671,-82.5438
156.19.52.0,156.19.52.247,NA,US,"North Carolina",Hickory,35.6704,-81.3619
156.19.52.248,156.19.54.15,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.54.16,156.19.54.255,NA,US,"South Carolina",Simpsonville,34.7371,-82.2543
156.19.55.0,156.19.55.255,NA,US,"North Carolina",Lenoir,35.914,-81.539
156.19.56.0,156.19.56.255,NA,US,"South Carolina",Simpsonville,34.7371,-82.2543
156.19.57.0,156.19.57.255,NA,US,"North Carolina",Hickory,35.6704,-81.3619
156.19.58.0,156.19.58.255,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.59.0,156.19.59.255,NA,US,"South Carolina",Anderson,34.5034,-82.6501
156.19.60.0,156.19.61.3,NA,US,"South Carolina",Spartanburg,34.9496,-81.932
156.19.61.4,156.19.61.255,NA,US,"North Carolina",Lenoir,35.914,-81.539
156.19.62.0,156.19.62.251,NA,US,"South Carolina",Greenville,34.8526,-82.394
156.19.62.252,156.19.63.255,NA,US,"South Carolina",Simpsonville,34.7371,-82.2543
156.19.64.0,156.19.64.248,NA,US,Massachusetts,Worcester,42.3142,-71.7978
156.19.64.249,156.19.66.3,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.66.4,156.19.66.255,NA,US,Texas,"Fort Worth",32.7555,-97.3308
156.19.67.0,156.19.67.255,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.68.0,156.19.68.255,NA,US,Massachusetts,Southbridge,42.0751,-72.0334
156.19.69.0,156.19.69.255,NA,US,Massachusetts,"Oxford (North Oxford)",42.1498,-71.8691
156.19.70.0,156.19.70.255,NA,US,Vermont,Danville,44.4683,-72.1282
156.19.71.0,156.19.71.255,NA,US,"New York",Plattsburgh,44.6995,-73.4529
156.19.72.0,156.19.72.255,NA,US,Connecticut,"New Milford",41.5908,-73.3944
156.19.73.0,156.19.74.11,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.74.12,156.19.74.255,NA,US,Texas,"Fort Worth",32.7555,-97.3308
156.19.75.0,156.19.76.7,NA,US,Massachusetts,Worcester,42.3142,-71.7978
156.19.76.8,156.19.77.7,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.77.8,156.19.77.255,NA,US,Connecticut,Newtown,41.4141,-73.3036
156.19.78.0,156.19.78.255,NA,US,Massachusetts,"Oxford (North Oxford)",42.1498,-71.8691
156.19.79.0,156.19.79.247,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.79.248,156.19.80.251,NA,US,Massachusetts,"Oxford (North Oxford)",42.1498,-71.8691
156.19.80.252,156.19.81.255,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.82.0,156.19.83.7,NA,US,Massachusetts,Chicopee,42.1754,-72.5737
156.19.83.8,156.19.83.255,NA,US,Massachusetts,"Oxford (North Oxford)",42.1498,-71.8691
156.19.84.0,156.19.84.255,NA,US,Connecticut,Newtown,41.4141,-73.3036
156.19.85.0,156.19.85.255,NA,US,Massachusetts,Chicopee,42.1754,-72.5737
156.19.86.0,156.19.86.255,NA,US,Massachusetts,Worcester,42.3142,-71.7978
156.19.87.0,156.19.87.251,NA,US,Connecticut,"New Milford",41.5908,-73.3944
156.19.87.252,156.19.89.23,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.89.24,156.19.89.243,NA,US,Texas,"Fort Worth",32.7555,-97.3308
156.19.89.244,156.19.90.255,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.91.0,156.19.92.3,NA,US,Texas,"Fort Worth",32.7555,-97.3308
156.19.92.4,156.19.93.15,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.93.16,156.19.93.207,NA,US,Texas,"Fort Worth",32.7555,-97.3308
156.19.93.208,156.19.95.27,NA,US,Massachusetts,Oxford,42.1168,-71.8648
156.19.95.28,156.19.95.255,NA,US,Texas,"Fort Worth",32.7555,-97.3308
156.19.96.0,156.19.127.255,NA,US,Colorado,"Greenwood Village",39.6004,-104.891
156.19.128.0,156.19.128.255,NA,US,Alabama,Leeds,33.5482,-86.5444
156.19.129.0,156.19.129.255,NA,US,Alabama,Birmingham,33.4307,-86.7919
156.19.130.0,156.19.130.255,NA,US,Alabama,Leeds,33.5482,-86.5444
156.19.131.0,156.19.131.255,NA,US,Alabama,Birmingham,33.4307,-86.7919
156.19.132.0,156.19.132.255,NA,US,Alabama,Montgomery,32.3823,-86.1915
156.19.133.0,156.19.133.255,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.134.0,156.19.134.255,NA,US,Alabama,Decatur,34.6278,-87.0424
156.19.135.0,156.19.135.255,NA,US,Alabama,Decatur,34.6059,-86.9833
156.19.136.0,156.19.136.255,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.137.0,156.19.137.255,NA,US,Alabama,Gardendale,33.7001,-86.8321
156.19.138.0,156.19.139.7,NA,US,Alabama,Montgomery,32.3823,-86.1915
156.19.139.8,156.19.139.255,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.140.0,156.19.140.255,NA,US,Alabama,Montgomery,32.3823,-86.1915
156.19.141.0,156.19.141.255,NA,US,Alabama,Decatur,34.6278,-87.0424
156.19.142.0,156.19.142.255,NA,US,Illinois,Chicago,41.8781,-87.6298
156.19.143.0,156.19.143.255,NA,US,Alabama,Decatur,34.6278,-87.0424
156.19.144.0,156.19.145.3,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.145.4,156.19.145.255,NA,US,Alabama,Montevallo,33.1007,-86.8642
156.19.146.0,156.19.146.255,NA,US,Alabama,Cullman,34.1701,-86.8473
156.19.147.0,156.19.147.255,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.148.0,156.19.148.255,NA,US,Alabama,Cullman,34.1701,-86.8473
156.19.149.0,156.19.149.251,NA,US,Alabama,Decatur,34.6278,-87.0424
156.19.149.252,156.19.150.247,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.150.248,156.19.151.251,NA,US,Alabama,Montevallo,33.1007,-86.8642
156.19.151.252,156.19.152.255,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.153.0,156.19.153.255,NA,US,Alabama,Jasper,33.8312,-87.2775
156.19.154.0,156.19.154.255,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.155.0,156.19.156.7,NA,US,Alabama,Birmingham,33.4307,-86.7919
156.19.156.8,156.19.157.3,NA,US,Alabama,Montgomery,32.3823,-86.1915
156.19.157.4,156.19.157.255,NA,US,Alabama,Montevallo,33.1007,-86.8642
156.19.158.0,156.19.158.255,NA,US,Alabama,Piedmont,33.9245,-85.6114
156.19.159.0,156.19.159.255,NA,US,Alabama,Guntersville,34.3226,-86.3143
156.19.160.0,156.19.161.3,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.161.4,156.19.162.3,NA,US,California,Riverside,33.9534,-117.396
156.19.162.4,156.19.163.19,NA,US,California,"Monterey Park",34.0625,-118.123
156.19.163.20,156.19.164.11,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.164.12,156.19.164.251,NA,US,California,Riverside,33.9534,-117.396
156.19.164.252,156.19.165.255,NA,US,Georgia,Lawrenceville,33.9562,-83.988
156.19.166.0,156.19.166.247,NA,US,California,Riverside,33.9534,-117.396
