34.66.39.0,34.66.39.223,NA,US,Tennessee,Nashville,36.1627,-86.7816
34.66.39.224,34.66.41.111,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.41.112,34.66.41.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.41.224,34.66.42.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.43.0,34.66.43.15,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.43.16,34.66.45.63,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.45.64,34.66.45.95,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.45.96,34.66.47.95,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.47.96,34.66.47.175,NA,US,Tennessee,Nashville,36.1627,-86.7816
34.66.47.176,34.66.49.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.49.16,34.66.49.239,NA,US,Tennessee,Nashville,36.1627,-86.7816
34.66.49.240,34.66.50.239,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.50.240,34.66.51.175,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.51.176,34.66.53.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.53.16,34.66.53.223,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.53.224,34.66.54.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.55.0,34.66.55.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.56.0,34.66.57.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.57.48,34.66.57.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.58.0,34.66.59.47,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.59.48,34.66.59.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.60.0,34.66.60.255,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.61.0,34.66.61.175,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.61.176,34.66.63.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.63.16,34.66.63.239,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.63.240,34.66.65.159,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.65.160,34.66.65.255,NA,US,Tennessee,Nashville,36.1627,-86.7816
34.66.66.0,34.66.66.255,NA,US,"New Jersey",Newark,40.7357,-74.1724
34.66.67.0,34.66.68.15,NA,US,Virginia,Ashburn,39.0438,-77.4874
34.66.68.16,34.66.68.239,NA,US,Tennessee,Nashville,36.1627,-86.7816
