121.3.235.0,121.3.240.255,AS,JP,Tokyo,Shinagawa,35.6098,139.748
121.3.241.0,121.3.241.255,AS,JP,Miyagi,Wakuya,38.5447,141.135
121.3.242.0,121.3.247.255,AS,JP,Tokyo,Shinagawa,35.6098,139.748
121.3.248.0,121.3.248.255,AS,JP,Hiroshima,Etajima,34.2386,132.48
121.3.249.0,121.3.249.255,AS,JP,Hiroshima,Fukuyama,34.4833,133.367
121.3.250.0,121.3.251.255,AS,JP,Tokyo,Shinagawa,35.6098,139.748
121.3.252.0,121.3.252.255,AS,JP,Gifu,Ōgaki,35.35,136.617
121.3.253.0,121.3.253.127,AS,JP,Gifu,Gōdo,35.4167,136.6
121.3.253.128,121.3.255.255,AS,JP,Tokyo,Shinagawa,35.6098,139.748
121.4.0.0,121.5.255.255,AS,SG,,Singapore,1.28009,103.851
121.6.0.0,121.6.5.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.6.0,121.6.6.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.7.0,121.6.8.255,AS,SG,,Singapore,1.29209,103.807
121.6.9.0,121.6.11.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.12.0,121.6.12.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.13.0,121.6.13.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.14.0,121.6.16.255,AS,SG,,Singapore,1.29209,103.807
121.6.17.0,121.6.17.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.18.0,121.6.19.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.20.0,121.6.20.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.21.0,121.6.22.255,AS,SG,,Singapore,1.29209,103.807
121.6.23.0,121.6.23.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.24.0,121.6.24.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.25.0,121.6.25.255,AS,SG,,Singapore,1.29209,103.807
121.6.26.0,121.6.28.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.29.0,121.6.29.255,AS,SG,,Singapore,1.29209,103.807
121.6.30.0,121.6.32.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.33.0,121.6.33.255,AS,SG,,Singapore,1.29209,103.807
121.6.34.0,121.6.35.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
