134.19.48.0,134.19.48.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.49.0,134.19.49.127,EU,DE,"North Rhine-Westphalia",Birgte,52.2479,7.64833
134.19.49.128,134.19.50.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.51.0,134.19.52.255,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.53.0,134.19.53.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.54.0,134.19.54.255,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.55.0,134.19.59.127,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.59.128,134.19.59.255,EU,DE,"North Rhine-Westphalia",Witten,51.4436,7.35258
134.19.60.0,134.19.60.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.61.0,134.19.62.47,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.62.48,134.19.62.159,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.62.160,134.19.67.255,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.68.0,134.19.68.255,EU,DE,Rheinland-Pfalz,Gutweiler,49.7167,6.73333
134.19.69.0,134.19.95.255,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.96.0,134.19.97.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.98.0,134.19.99.191,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.99.192,134.19.102.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.103.0,134.19.103.255,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.104.0,134.19.104.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.105.0,134.19.105.255,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.106.0,134.19.106.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.107.0,134.19.108.255,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.109.0,134.19.111.255,EU,DE,"Lower Saxony",Huede,52.4959,8.35804
134.19.112.0,134.19.127.255,EU,DE,"North Rhine-Westphalia",Gütersloh,51.921,8.40135
134.19.128.0,134.19.135.255,EU,RU,Krasnoyarskiy,Krasnoyarsk,56.0126,92.8599
134.19.136.0,134.19.143.255,EU,SK,Bratislava,Bratislava,48.1459,17.1071
134.19.144.0,134.19.150.255,EU,RU,Moscow,Moscow,55.7635,37.5375
134.19.151.0,134.19.151.255,EU,RU,"Kostroma Oblast",Kostroma,57.7665,40.9269
134.19.152.0,134.19.154.255,EU,RU,Moscow,Moscow,55.7635,37.5375
134.19.155.0,134.19.155.255,EU,RU,Sakha,Mirny,62.5353,113.961
134.19.156.0,134.19.159.255,EU,RU,Moscow,Moscow,55.7635,37.5375
134.19.160.0,134.19.161.15,EU,GB,England,London,51.5216,-0.0716927
134.19.161.16,134.19.161.255,EU,GB,England,London,51.5074,-0.127758
134.19.162.0,134.19.162.255,EU,GB,England,London,51.5216,-0.0716927
134.19.163.0,134.19.163.255,EU,GB,England,London,51.5074,-0.127758
134.19.164.0,134.19.165.255,EU,GB,England,London,51.5216,-0.0716927
134.19.166.0,134.19.166.255,EU,GB,England,London,51.5074,-0.127758
134.19.167.0,134.19.167.255,EU,GB,England,London,51.5216,-0.0716927
134.19.168.0,134.19.175.255,EU,IT,Lombardy,Milan,45.4655,9.18652
134.19.176.0,134.19.177.255,EU,NL,"South Holland",Alblasserdam,51.8506,4.67957
134.19.178.0,134.19.178.255,EU,NL,"South Holland",Alblasserdam,51.848,4.67637
134.19.179.0,134.19.181.255,EU,NL,"South Holland",Alblasserdam,51.8506,4.67957
134.19.182.0,134.19.182.255,EU,NL,"South Holland",Rotterdam,51.9244,4.47773
134.19.183.0,134.19.183.255,EU,NL,"North Holland",Amsterdam,52.3702,4.89517
134.19.184.0,134.19.186.158,EU,NL,"South Holland",Alblasserdam,51.8506,4.67957
134.19.186.159,134.19.186.255,EU,NL,"South Holland",Alblasserdam,51.848,4.67637
134.19.187.0,134.19.187.255,EU,NL,"South Holland",Alblasserdam,51.8506,4.67957
134.19.188.0,134.19.188.255,EU,NL,"South Holland",Noorden,52.1624,4.81592
134.19.189.0,134.19.189.255,EU,NL,"South Holland",Leiden,52.1583,4.49306
134.19.190.0,134.19.191.255,EU,NL,"South Holland",Alblasserdam,51.848,4.67637
134.19.192.0,134.19.199.255,EU,FR,Île-de-France,Paris,48.8464,2.39698
134.19.200.0,134.19.201.255,AS,TR,Istanbul,Şişli,41.1117,29.0249
134.19.202.0,134.19.202.255,AS,TR,Adana,Adana,37,35.3213
134.19.203.0,134.19.203.255,AS,TR,Kırıkkale,"Kırıkkale (Bağlarbaşı Mh.)",39.8547,33.4965
134.19.204.0,134.19.204.255,AS,TR,Antalya,Antalya,36.8841,30.7056
134.19.205.0,134.19.206.255,AS,TR,Adana,Adana,37,35.3213
134.19.207.0,134.19.207.255,AS,TR,Antalya,Antalya,36.8841,30.7056
134.19.208.0,134.19.212.255,AS,AZ,Baki,"Baku (Nərimanov)",40.4145,49.8793
134.19.213.0,134.19.213.255,AS,AZ,Baki,Baku,40.4093,49.8671
134.19.214.0,134.19.214.255,AS,AZ,Baki,"Baku (Nizami)",40.4169,49.9092
134.19.215.0,134.19.215.255,AS,AZ,Baki,Baku,40.4093,49.8671
134.19.216.0,134.19.217.255,AS,AZ,Baki,"Baku (Nərimanov)",40.4145,49.8793
134.19.218.0,134.19.218.255,AS,AZ,Baki,Baku,40.4093,49.8671
134.19.219.0,134.19.219.255,AS,AZ,Baki,Badamdar,40.3402,49.8045
